"Gender","Nationality","PlaceofBirth","StageID","GradeID","SectionID","Topic","Semester","Relation","ParentAnswerSurvey","ParentSchoolSatisfy","StudentAbsentDays","Class","RaisedHands","VisitedResources","ViewAnnouncements","Discussion"
"155","female","Kuwait","Kuwait","PrimarySchool","G-04","A","IT","Semester-1","Father","Yes","Bad","Above-7","MiddleLevel",42,30,13,70
"156","female","Kuwait","Kuwait","PrimarySchool","G-04","A","History","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",80,97,86,95
"157","male","Kuwait","Kuwait","PrimarySchool","G-04","A","Math","Semester-2","Father","Yes","Good","Under-7","HighLevel",15,6,32,40
"158","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","MiddleLevel",95,87,62,81
"159","female","SaudiArabia","USA","HighSchool","G-11","B","Science","Semester-2","Father","Yes","Bad","Under-7","HighLevel",100,91,98,40
"160","female","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",60,60,33,90
"161","female","SaudiArabia","SaudiArabia","PrimarySchool","G-02","B","French","Semester-2","Father","Yes","Bad","Under-7","HighLevel",60,70,63,93
"162","male","Kuwait","Kuwait","HighSchool","G-12","A","English","Semester-1","Father","No","Good","Above-7","LowLevel",39,15,16,50
"163","male","Jordan","Jordan","PrimarySchool","G-02","C","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",80,42,20,50
"164","female","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",60,60,33,90
"165","male","Kuwait","Kuwait","MiddleSchool","G-08","B","Arabic","Semester-2","Father","Yes","Good","Under-7","MiddleLevel",67,31,42,14
"166","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",25,82,52,20
"167","male","Kuwait","Kuwait","HighSchool","G-10","A","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",0,5,7,2
"168","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Bad","Under-7","MiddleLevel",50,90,40,90
"169","male","Jordan","Jordan","MiddleSchool","G-07","A","Biology","Semester-1","Father","No","Good","Above-7","MiddleLevel",39,71,40,26
"170","male","Jordan","Jordan","PrimarySchool","G-02","A","French","Semester-1","Father","No","Bad","Above-7","LowLevel",10,15,10,21
"171","male","Jordan","Jordan","MiddleSchool","G-06","A","English","Semester-2","Father","No","Bad","Under-7","HighLevel",22,20,6,26
"172","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"173","male","Kuwait","Kuwait","MiddleSchool","G-08","A","Arabic","Semester-1","Father","No","Bad","Above-7","LowLevel",25,15,12,33
"174","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"175","female","Kuwait","Kuwait","PrimarySchool","G-02","C","IT","Semester-1","Father","No","Bad","Under-7","MiddleLevel",10,3,0,30
"176","male","Jordan","Jordan","MiddleSchool","G-08","B","Arabic","Semester-2","Father","No","Bad","Above-7","LowLevel",29,10,12,24
"177","male","Jordan","Jordan","MiddleSchool","G-07","A","Biology","Semester-1","Father","No","Good","Above-7","MiddleLevel",39,71,40,26
"178","female","USA","USA","MiddleSchool","G-07","A","Math","Semester-1","Father","No","Good","Under-7","MiddleLevel",27,22,22,40
"179","male","Kuwait","Kuwait","PrimarySchool","G-05","A","English","Semester-1","Father","No","Bad","Above-7","LowLevel",8,22,9,40
"180","male","Jordan","Jordan","PrimarySchool","G-04","B","Science","Semester-2","Father","No","Good","Above-7","MiddleLevel",42,34,29,39
"181","male","Jordan","Jordan","PrimarySchool","G-02","C","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",80,42,20,50
"182","female","Kuwait","Kuwait","MiddleSchool","G-07","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",60,60,33,90
"183","male","Jordan","Jordan","MiddleSchool","G-07","B","Biology","Semester-2","Father","No","Bad","Under-7","MiddleLevel",53,88,9,33
"184","female","Lebanon","Lebanon","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",70,98,7,5
"185","male","Iraq","Iraq","MiddleSchool","G-07","B","Biology","Semester-2","Father","Yes","Good","Under-7","HighLevel",89,92,89,83
"186","male","Jordan","Jordan","MiddleSchool","G-06","A","English","Semester-2","Father","No","Bad","Under-7","HighLevel",22,20,6,26
"187","male","Palestine","Palestine","MiddleSchool","G-08","A","Geology","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",80,87,74,68
"188","male","Kuwait","Kuwait","PrimarySchool","G-04","A","Math","Semester-2","Father","Yes","Good","Under-7","HighLevel",15,6,32,40
"189","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",1,0,1,12
"190","male","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",55,33,6,9
"191","female","Kuwait","Kuwait","PrimarySchool","G-02","B","IT","Semester-1","Father","No","Bad","Under-7","LowLevel",3,12,4,33
"192","female","Jordan","Jordan","MiddleSchool","G-08","A","Geology","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",25,82,52,20
"193","male","Jordan","Jordan","PrimarySchool","G-02","A","Arabic","Semester-1","Father","Yes","Good","Above-7","MiddleLevel",20,88,31,28
"194","female","Kuwait","Kuwait","MiddleSchool","G-07","B","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",70,80,25,70
"195","male","Jordan","SaudiArabia","MiddleSchool","G-08","A","Geology","Semester-1","Father","No","Bad","Under-7","HighLevel",85,89,22,61
"196","male","Kuwait","Kuwait","PrimarySchool","G-04","A","IT","Semester-1","Father","No","Bad","Above-7","MiddleLevel",40,50,12,50
"197","female","Lebanon","Lebanon","PrimarySchool","G-02","B","IT","Semester-1","Father","Yes","Good","Under-7","MiddleLevel",70,98,7,5
"198","male","Iraq","Iraq","MiddleSchool","G-07","B","Biology","Semester-1","Father","Yes","Good","Under-7","HighLevel",98,90,86,71
"199","male","Kuwait","Kuwait","MiddleSchool","G-06","A","IT","Semester-1","Father","No","Bad","Above-7","LowLevel",0,0,0,4
